normalized_condition_name,display_name,profile_count,dosha_combinations_present,relevant_fields_complete,missing_or_placeholder_fields,symptoms_completeness_score,dosha_clarity_score,diet_lifestyle_completeness_score,prevention_completeness_score,complications_referral_completeness_score,within_group_symptom_coherence,symptom_distinctiveness_score,distinctiveness_score,rule_potential_score,external_source_availability_status,external_source_availability_score,manageable_scope_status,manageable_scope_score,preliminary_data_score,selection_score
maffucci syndrome,Maffucci Syndrome,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.9262200075352347,0.9262200075352347,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7876220007535234,0.7876220007535234
malaria,Malaria,2,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,0.2543164255971685,0.38019621052562314,0.38019621052562314,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7330196210525622,0.7330196210525622
mansonelliasis,Mansonelliasis,1,Kapha,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.550653768362337,0.550653768362337,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7500653768362336,0.7500653768362336
maple syrup urine disease,Maple Syrup Urine Disease,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.575496420949023,0.575496420949023,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7525496420949023,0.7525496420949023
marburg,Marburg,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.34130953764628713,0.34130953764628713,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7291309537646287,0.7291309537646287
marburg virus disease,Marburg Virus Disease,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.4704940898596679,0.4704940898596679,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7420494089859667,0.7420494089859667
marfan syndrome,Marfan Syndrome,1,Vata,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7165757926766014,0.7165757926766014,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7666575792676601,0.7666575792676601
mccune albright syndrome,McCune-Albright Syndrome,1,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8528769142635599,0.8528769142635599,1.0,not yet verified,0.0,not manually reviewed,0.5,0.780287691426356,0.780287691426356
measles,Measles,2,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,0.3376188405811771,0.6125952422860834,0.6125952422860834,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7562595242286083,0.7562595242286083
melanoma,Melanoma,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.772581809942139,0.772581809942139,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7722581809942138,0.7722581809942138
